,Keyword,Context,Question
0,digital images,"The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.From the perspective of engineering, it seeks to understand and automate tasks that the human visual system can do.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g.Some examples of typical computer vision tasks are presented below.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g., in the forms of decisions.Computer vision is an interdisciplinary scientific field that deals with how computers can gain highlevel understanding from digital images or videos.",What are the types of computer vision tasks?
1,computer vision,"The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.From the perspective of engineering, it seeks to understand and automate tasks that the human visual system can do.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g.Some examples of typical computer vision tasks are presented below.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g., in the forms of decisions.Computer vision is an interdisciplinary scientific field that deals with how computers can gain highlevel understanding from digital images or videos.",What is the definition of computer vision?
2,processing,"Recent advances in deep learning has enabled researchers to build models that are able to generate and reconstruct D shapes from single or multiview depth maps or silhouettes seamlessly and efficiently.Automatic inspection, e.g., in manufacturing applicationsAssisting humans in identification tasks, e.g., a species identification systemControlling processes, e.g., an industrial robotDetecting events, e.g., for visual surveillance or people counting, e.g., in the restaurant industryInteraction, e.g., as the input to a device for computerhuman interactionModeling objects or environments, e.g., medical image analysis or topographical modelingNavigation, e.g., by an autonomous vehicle or mobile robotOrganizing information, e.g., for indexing databases of images and image sequences.Tracking surfaces or planes in D coordinates for allowing Augmented Reality experiences.One of the most prominent application fields is medical computer vision, or medical image processing, characterized by the extraction of information from image data to diagnose a patient.These cameras can then be placed on devices such as robotic hands in order to allow the computer to receive highly accurate tactile data.Other application areas includeSupport of visual effects creation for cinema and broadcast, e.g., camera tracking matchmoving.Surveillance.Driver drowsiness detectionTracking and counting organisms in the biological sciencesEach of the application areas described above employ a range of computer vision tasks more or less welldefined measurement problems or processing problems, which can be solved using a variety of methods.The pixel values typically correspond to light intensity in one or several spectral bands gray images or colour images, but can also be related to various physical measures, such as depth, absorption or reflectance of sonic or electromagnetic waves, or nuclear magnetic resonance.Preprocessing – Before a computer vision method can be applied to image data in order to extract some specific piece of information, it is usually necessary to process the data in order to assure that it satisfies certain assumptions implied by the method.The content can be specified in different ways, for example in terms of similarity relative a target image give me all images similar to image X by utilizing reverse image search techniques, or in terms of highlevel search criteria given as text input give me all images which contain many houses, are taken during winter, and have no cars in them.Computer vision for people counter purposes in public places, malls, shopping centresPose estimation – estimating the position or orientation of a specific object relative to the camera.The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.Studies in the s formed the early foundations for many of the computer vision algorithms that exist today, including extraction of edges from images, labeling of lines, nonpolyhedral and polyhedral modeling, representation of objects as interconnections of smaller structures, optical flow, and motion estimation.The next decade saw studies based on more rigorous mathematical analysis and quantitative aspects of computer vision.Studies in the s formed the early foundations for many of the computer vision algorithms that exist today, including extraction of edges from images, labeling of lines, nonpolyhedral and polyhedral modeling, representation of objects as interconnections of smaller structures, optical flow, and motion estimation.The next decade saw studies based on more rigorous mathematical analysis and quantitative aspects of computer vision.A significant part of this field is devoted to applying these methods to image data.Photogrammetry also overlaps with computer vision, e.g., stereophotogrammetry vs. computer stereo vision.Applications range from tasks such as industrial machine vision systems which, say, inspect bottles speeding by on a production line, to research into artificial intelligence and computers or robots that can comprehend the world around them.In image processing, the input is an image and the output is an image as well, whereas in computer vision, an image or a video is taken as an input and the output could be an enhanced image, an understanding of the content of an image or even a behaviour of a computer system based on such understanding.Computer graphics produces image data from D models, computer vision often produces D models from image data.In image processing, the input is an image and the output is an image as well, whereas in computer vision, an image or a video is taken as an input and the output could be an enhanced image, an understanding of the content of an image or even a behaviour of a computer system based on such understanding.Computer graphics produces image data from D models, computer vision often produces D models from image data.neural net and deep learning based image and feature analysis and classification have their background in biology.Some strands of computer vision research are closely related to the study of biological vision—indeed, just as many strands of AI research are closely tied with research into human consciousness, and the use of stored knowledge to interpret, integrate and utilize visual information.By first analysing the image data in terms of the local image structures, such as lines or edges, and then controlling the filtering based on local information from the analysis step, a better level of noise removal is usually obtained compared to the simpler approaches.An example in this field is inpainting.The organization of a computer vision system is highly applicationdependent.This image understanding can be seen as the disentangling of symbolic information from image data using models constructed with the aid of geometry, physics, statistics, and learning theory.The classical problem in computer vision, image processing, and machine vision is that of determining whether or not the image data contains some specific object, feature, or activity.It also implies that the external conditions such as lighting can be and are often more controlled in machine vision than they are in general computer vision, which can enable the use of different algorithms.There is also a field called imaging which primarily focuses on the process of producing images, but sometimes also deals with processing and analysis of images.Applications of computer vision in the medical area also includes enhancement of images interpreted by humans—ultrasonic images or Xray images, for example—to reduce the influence of noise.A second application area in computer vision is in industry, sometimes called machine vision, where information is extracted for the purpose of supporting a production process.Applications of computer vision in the medical area also includes enhancement of images interpreted by humans—ultrasonic images or Xray images, for example—to reduce the influence of noise.A second application area in computer vision is in industry, sometimes called machine vision, where information is extracted for the purpose of supporting a production process.In , it was believed that this could be achieved through a summer project, by attaching a camera to a computer and having it describe what it saw.What distinguished computer vision from the prevalent field of digital image processing at that time was a desire to extract threedimensional structure from images with the goal of achieving full scene understanding.From the perspective of engineering, it seeks to understand and automate tasks that the human visual system can do.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g.Information about the environment could be provided by a computer vision system, acting as a vision sensor and providing highlevel information about the environment and the robot.Beside the abovementioned views on computer vision, many of the related research topics can also be studied from a purely mathematical point of view.Information about the environment could be provided by a computer vision system, acting as a vision sensor and providing highlevel information about the environment and the robot.Beside the abovementioned views on computer vision, many of the related research topics can also be studied from a purely mathematical point of view.This image understanding can be seen as the disentangling of symbolic information from image data using models constructed with the aid of geometry, physics, statistics, and learning theory.The scientific discipline of computer vision is concerned with the theory behind artificial systems that extract information from images.Some examples of typical computer vision tasks are presented below.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g., in the forms of decisions.Some examples of typical computer vision tasks are presented below.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g., in the forms of decisions.Space exploration is already being made with autonomous vehicles using computer vision, e.g., NASA's Curiosity and CNSA's Yutu rover.Materials such as rubber and silicon are being used to create sensors that allow for applications such as detecting micro undulations and calibrating robotic hands.There are, however, typical functions that are found in many computer vision systems.Image acquisition – A digital image is produced by one or several image sensors, which, besides various types of lightsensitive cameras, include range sensors, tomography devices, radar, ultrasonic cameras, etc.Finally, a significant part of the field is devoted to the implementation aspect of computer vision how existing methods can be realized in various combinations of software and hardware, or how these methods can be modified in order to gain processing speed without losing too much performance.Computer vision often relies on more or less complex assumptions about the scene depicted in an image.Machine vision is the process of applying a range of technologies and methods to provide imagingbased automatic inspection, process control and robot guidance in industrial applications.The accuracy of deep learning algorithms on several benchmark computer vision data sets for tasks ranging from classification, segmentation and optical flow has surpassed prior methods.Solidstate physics is another field that is closely related to computer vision.The accuracy of deep learning algorithms on several benchmark computer vision data sets for tasks ranging from classification, segmentation and optical flow has surpassed prior methods.Solidstate physics is another field that is closely related to computer vision.Together with the multidimensionality of the signal, this defines a subfield in signal processing as a part of computer vision.Robot navigation sometimes deals with autonomous path planning or deliberation for robotic systems to navigate through an environment.As a technological discipline, computer vision seeks to apply its theories and models for the construction of computer vision systems.In the late s, computer vision began at universities which were pioneering artificial intelligence.As a technological discipline, computer vision seeks to apply its theories and models for the construction of computer vision systems.In the late s, computer vision began at universities which were pioneering artificial intelligence.As a technological discipline, computer vision seeks to apply its theories and models for the construction of computer vision systems.In the late s, computer vision began at universities which were pioneering artificial intelligence.Computer vision is also used in fashion ecommerce, inventory management, patent search, furniture, and the beauty industryThe fields most closely related to computer vision are image processing, image analysis and machine vision.Computer vision is also used in fashion ecommerce, inventory management, patent search, furniture, and the beauty industryThe fields most closely related to computer vision are image processing, image analysis and machine vision.Fully autonomous vehicles typically use computer vision for navigation, e.g., for knowing where they are or mapping their environment SLAM, for detecting obstacles andor automatically ensuring navigational safety.Many methods for processing of onevariable signals, typically temporal signals, can be extended in a natural way to processing of twovariable signals or multivariable signals in computer vision.These results have led to a subfield within computer vision where artificial systems are designed to mimic the processing and behavior of biological systems, at different levels of complexity.This characterization implies that image processinganalysis neither require assumptions nor produce interpretations about the image content.Computer vision includes D analysis from D images.Also, various measurement problems in physics can be addressed using computer vision, for example motion in fluids.Neurobiology, specifically the study of the biological vision system.The specific implementation of a computer vision system also depends on whether its functionality is prespecified or if some part of it can be learned or modified during operation.However, because of the specific nature of images there are many methods developed within computer vision that have no counterpart in processing of onevariable signals.Interdisciplinary exchange between biological and computer vision has proven fruitful for both fieldsYet another field related to computer vision is signal processing.Interdisciplinary exchange between biological and computer vision has proven fruitful for both fieldsYet another field related to computer vision is signal processing.Most computer vision systems rely on image sensors, which detect electromagnetic radiation, which is typically in the form of either visible or infrared light.Computer vision is concerned with the automatic extraction, analysis and understanding of useful information from a single image or a sequence of images.Computer vision is an interdisciplinary scientific field that deals with how computers can gain highlevel understanding from digital images or videos.Toward the end of the s, a significant change came about with the increased interaction between the fields of computer graphics and computer vision.Computer vision, on the other hand, studies and describes the processes implemented in software and hardware behind artificial vision systems.As a scientific discipline, computer vision is concerned with the theory behind artificial systems that extract information from images.Examples of applications of computer vision include systems forLearning D shapes has been a challenging task in computer vision.Examples of applications of computer vision include systems forLearning D shapes has been a challenging task in computer vision.The advancement of Deep Learning techniques has brought further life to the field of computer vision.Computer vision covers the core technology of automated image analysis which is used in many fields.For example, many methods in computer vision are based on statistics, optimization or geometry.Also, some of the learningbased methods developed within computer vision e.g.The computer vision and machine vision fields have significant overlap.",What is the role of the input to a device for computer interaction?
3,highdimensional data,"Recent advances in deep learning has enabled researchers to build models that are able to generate and reconstruct D shapes from single or multiview depth maps or silhouettes seamlessly and efficiently.Automatic inspection, e.g., in manufacturing applicationsAssisting humans in identification tasks, e.g., a species identification systemControlling processes, e.g., an industrial robotDetecting events, e.g., for visual surveillance or people counting, e.g., in the restaurant industryInteraction, e.g., as the input to a device for computerhuman interactionModeling objects or environments, e.g., medical image analysis or topographical modelingNavigation, e.g., by an autonomous vehicle or mobile robotOrganizing information, e.g., for indexing databases of images and image sequences.Tracking surfaces or planes in D coordinates for allowing Augmented Reality experiences.One of the most prominent application fields is medical computer vision, or medical image processing, characterized by the extraction of information from image data to diagnose a patient.The remaining processing deals with, for exampleVerification that the data satisfy modelbased and applicationspecific assumptions.Estimation of applicationspecific parameters, such as object pose or object size.Image recognition – classifying a detected object into different categories.Image registration – comparing and combining two different views of the same object.Decision making Making the final decision required for the application, for examplePassfail on automatic inspection applications.Matchnomatch in recognition applications.Flag for further human review in medical, military, security and recognition applications.Imageunderstanding systemsImageunderstanding systems IUS include three levels of abstraction as follows low level includes image primitives such as edges, texture elements, or regions intermediate level includes boundaries, surfaces and volumes and high level includes objects, scenes, or events.Examples areSelection of a specific set of interest points.Segmentation of one or multiple image regions that contain a specific object of interest.Segmentation of image into nested scene architecture comprising foreground, object groups, single objects or salient object parts also referred to as spatialtaxon scene hierarchy, while the visual salience is often implemented as spatial and temporal attention.Segmentation or cosegmentation of one or multiple videos into a series of perframe foreground masks, while maintaining its temporal semantic continuity.Highlevel processing – At this step the input is typically a small set of data, for example a set of points or an image region which is assumed to contain a specific object.Many of these requirements are entirely topics for further research.The representational requirements in the designing of IUS for these levels are representation of prototypical concepts, concept organization, spatial knowledge, temporal knowledge, scaling, and description by comparison and differentiation.While inference refers to the process of deriving new, not explicitly represented facts from currently known facts, control refers to the process that selects which of the many inference, search, and matching techniques should be applied at a particular stage of processing.These cameras can then be placed on devices such as robotic hands in order to allow the computer to receive highly accurate tactile data.Other application areas includeSupport of visual effects creation for cinema and broadcast, e.g., camera tracking matchmoving.Surveillance.Driver drowsiness detectionTracking and counting organisms in the biological sciencesEach of the application areas described above employ a range of computer vision tasks more or less welldefined measurement problems or processing problems, which can be solved using a variety of methods.There is also a trend towards a combination of the two disciplines, e.g., as explored in augmented reality.The following characterizations appear relevant but should not be taken as universally acceptedImage processing and image analysis tend to focus on D images, how to transform one image to another, e.g., by pixelwise operations such as contrast enhancement, local operations such as edge extraction or noise removal, or geometrical transformations such as rotating the image.In image processing, the input is an image and the output is an image as well, whereas in computer vision, an image or a video is taken as an input and the output could be an enhanced image, an understanding of the content of an image or even a behaviour of a computer system based on such understanding.Computer graphics produces image data from D models, computer vision often produces D models from image data.This image understanding can be seen as the disentangling of symbolic information from image data using models constructed with the aid of geometry, physics, statistics, and learning theory.The classical problem in computer vision, image processing, and machine vision is that of determining whether or not the image data contains some specific object, feature, or activity.It also implies that the external conditions such as lighting can be and are often more controlled in machine vision than they are in general computer vision, which can enable the use of different algorithms.There is also a field called imaging which primarily focuses on the process of producing images, but sometimes also deals with processing and analysis of images.In , it was believed that this could be achieved through a summer project, by attaching a camera to a computer and having it describe what it saw.What distinguished computer vision from the prevalent field of digital image processing at that time was a desire to extract threedimensional structure from images with the goal of achieving full scene understanding.Typical examples of such features areLines, edges and ridges.Localized interest points such as corners, blobs or points.More complex features may be related to texture, shape or motion.Detectionsegmentation – At some point in the processing a decision is made about which image points or regions of the image are relevant for further processing.Typical examples of such features areLines, edges and ridges.Localized interest points such as corners, blobs or points.More complex features may be related to texture, shape or motion.Detectionsegmentation – At some point in the processing a decision is made about which image points or regions of the image are relevant for further processing.From the perspective of engineering, it seeks to understand and automate tasks that the human visual system can do.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g.Some examples of typical computer vision tasks are presented below.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g., in the forms of decisions.Finally, a significant part of the field is devoted to the implementation aspect of computer vision how existing methods can be realized in various combinations of software and hardware, or how these methods can be modified in order to gain processing speed without losing too much performance.Together with the multidimensionality of the signal, this defines a subfield in signal processing as a part of computer vision.Robot navigation sometimes deals with autonomous path planning or deliberation for robotic systems to navigate through an environment.This implies that image sensor technologies and control theory often are integrated with the processing of image data to control a robot and that realtime processing is emphasised by means of efficient implementations in hardware and software.This implies that image sensor technologies and control theory often are integrated with the processing of image data to control a robot and that realtime processing is emphasised by means of efficient implementations in hardware and software.Computer vision is also used in fashion ecommerce, inventory management, patent search, furniture, and the beauty industryThe fields most closely related to computer vision are image processing, image analysis and machine vision.Many methods for processing of onevariable signals, typically temporal signals, can be extended in a natural way to processing of twovariable signals or multivariable signals in computer vision.Many methods for processing of onevariable signals, typically temporal signals, can be extended in a natural way to processing of twovariable signals or multivariable signals in computer vision.These results have led to a subfield within computer vision where artificial systems are designed to mimic the processing and behavior of biological systems, at different levels of complexity.Over the last century, there has been an extensive study of eyes, neurons, and the brain structures devoted to processing of visual stimuli in both humans and various animals.However, because of the specific nature of images there are many methods developed within computer vision that have no counterpart in processing of onevariable signals.Interdisciplinary exchange between biological and computer vision has proven fruitful for both fieldsYet another field related to computer vision is signal processing.The advent of D imaging not requiring motion or scanning, and related processing algorithms is enabling rapid advances in this field.",What is the definition of computer vision?
4,object detection,"From the perspective of engineering, it seeks to understand and automate tasks that the human visual system can do.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g.Some examples of typical computer vision tasks are presented below.Computer vision tasks include methods for acquiring, processing, analyzing and understanding digital images, and extraction of highdimensional data from the real world in order to produce numerical or symbolic information, e.g., in the forms of decisions.",What is the definition of computer vision?
5,example,"The technological discipline of computer vision seeks to apply its theories and models to the construction of computer vision systems.Subdomains of computer vision include scene reconstruction, object detection, event detection, video tracking, object recognition, D pose estimation, learning, indexing, motion estimation, visual servoing, D scene modeling, and image restoration.Computer vision is an interdisciplinary field that deals with how computers can be made to gain highlevel understanding from digital images or videos.",What is the definition of a specific set of interest points?
6,interdisciplinary scientific field,"Examples areSelection of a specific set of interest points.Segmentation of one or multiple image regions that contain a specific object of interest.Segmentation of image into nested scene architecture comprising foreground, object groups, single objects or salient object parts also referred to as spatialtaxon scene hierarchy, while the visual salience is often implemented as spatial and temporal attention.Segmentation or cosegmentation of one or multiple videos into a series of perframe foreground masks, while maintaining its temporal semantic continuity.Highlevel processing – At this step the input is typically a small set of data, for example a set of points or an image region which is assumed to contain a specific object.The content can be specified in different ways, for example in terms of similarity relative a target image give me all images similar to image X by utilizing reverse image search techniques, or in terms of highlevel search criteria given as text input give me all images which contain many houses, are taken during winter, and have no cars in them.Computer vision for people counter purposes in public places, malls, shopping centresPose estimation – estimating the position or orientation of a specific object relative to the camera.By first analysing the image data in terms of the local image structures, such as lines or edges, and then controlling the filtering based on local information from the analysis step, a better level of noise removal is usually obtained compared to the simpler approaches.An example in this field is inpainting.The organization of a computer vision system is highly applicationdependent.For example, they are not good at classifying objects into finegrained classes, such as the particular breed of dog or species of bird, whereas convolutional neural networks handle this with ease.citation neededSeveral specialized tasks based on recognition exist, such asContentbased image retrieval – finding all images in a larger set of images which have a specific content.An example application for this technique would be assisting a robot arm in retrieving objects from a conveyor belt in an assembly line situation or picking parts from a bin.Optical character recognition OCR – identifying characters in images of printed or handwritten text, usually with a view to encoding the text in a format more amenable to editing or indexing e.g.Applications of computer vision in the medical area also includes enhancement of images interpreted by humans—ultrasonic images or Xray images, for example—to reduce the influence of noise.A second application area in computer vision is in industry, sometimes called machine vision, where information is extracted for the purpose of supporting a production process.For example, medical imaging includes substantial work on the analysis of image data in medical applications.Finally, pattern recognition is a field which uses various methods to extract information from signals in general, mainly based on statistical approaches and artificial neural networks.Some systems are standalone applications that solve a specific measurement or detection problem, while others constitute a subsystem of a larger design which, for example, also contains subsystems for control of mechanical actuators, planning, information databases, manmachine interfaces, etc.Also, various measurement problems in physics can be addressed using computer vision, for example motion in fluids.Neurobiology, specifically the study of the biological vision system.An example of this is detection of tumours, arteriosclerosis or other malign changes measurements of organ dimensions, blood flow, etc.One example is quality control where details or final products are being automatically inspected in order to find defects.Another example is measurement of position and orientation of details to be picked up by a robot arm.For example, many methods in computer vision are based on statistics, optimization or geometry.",what is computer vision?
7,symbolic information,Computer vision is an interdisciplinary scientific field that deals with how computers can gain highlevel understanding from digital images or videos.,What is the definition of computer vision?
